url,errorType,error,timestamp,attempt,session
"https://www.guimera.info/web/casesguimera/","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/minguell/index.htm","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/calfrancesc/","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/cooperativanalec/index.htm","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/cooperativa/index.htm","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/caltarragona/index.html","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/calfinestres","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/calalbareda/index.htm","unknown","","just now","1","guimera.info"
"https://www.guimera.info/web/calacecilia/index.html","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/web/armengol/index.htm","unknown","","1m ago","1","guimera.info"
"https://instagram.com/guimera.info","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/la-vall/et-pot-ser-util/","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/visites","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/patrimoni/","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/politica-de-cookies/","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/rgpdue-formulari-de-contacte/","unknown","","1m ago","1","guimera.info"
"https://www.guimera.info/avis-legal/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/politica-de-privacitat/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/web/cooperativa-de-nalec/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/web/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/blogs-de-la-vall-del-corb/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/usk/usk-mes-dibuixos/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/usk/usk-2024-fotos/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/usk/usk-2024-dibuixos/","unknown","","2m ago","1","guimera.info"
"https://www.guimera.info/usk/usk-2024-dibuixos-vallfogona/","unknown","","3m ago","1","guimera.info"
"https://www.guimera.info/usk/dibuix-foto/","unknown","","3m ago","1","guimera.info"
"https://www.guimera.info/usk/","unknown","","3m ago","1","guimera.info"
"https://www.guimera.info/usk/","unknown","","3m ago","1","guimera.info"
"https://www.guimera.info/usk/","unknown","","3m ago","1","guimera.info"
"https://www.guimera.info/visites/","unknown","","3m ago","1","guimera.info"